,hc_x,hc_y
1219,162.65,96.19
1271,215.65,94.92
924,171.36,66.26
2065,119.79,151.91
2490,88.32,165.14
3135,90.1,75.2
2601,188.0,92.24
2988,176.65,97.51
3136,98.62,162.37
3516,153.29,147.85
2484,64.59,87.52
2807,144.16,88.84
3015,209.64,117.33
2556,156.34,161.07
3406,109.64,158.02
3994,77.56,79.41
4412,153.28,175.07
3175,165.48,161.07
3549,168.83,138.14
4115,145.17,148.35
1936,112.97,196.84
2079,88.93,119.21
2433,188.83,99.02
2494,117.64,189.27
2578,160.9,54.16
3061,148.73,175.31
4295,157.36,97.49
228,81.2,106.61
253,49.16,107.19
3352,94.08,157.69
3788,116.99,110.64
4442,139.08,146.83
357,144.16,150.9
555,114.21,155.98
624,144.47,110.96
1519,117.25,47.86
1737,62.66,111.79
2359,191.37,116.31
3544,118.27,155.98
764,145.51,150.11
932,36.18,88.68
1079,117.01,153.75
1134,198.55,75.49
400,64.63,103.47
450,67.87,145.23
455,153.88,148.96
537,47.7,62.87
1202,154.61,166.49
1443,86.08,120.4
725,156.17,158.23
918,217.07,112.51
960,89.72,136.77
1150,136.6,108.39
1461,113.37,156.78
2048,80.59,161.81
1154,169.0,95.0
2317,154.61,153.14
3893,150.97,168.31
4246,94.41,53.57
1758,117.85,155.6
3412,221.39,66.33
2026,105.39,148.44
3525,117.84,55.03
4073,125.04,183.96
4354,118.12,82.99
2604,157.51,158.14
3533,123.0,221.0
2304,119.65,106.68
2844,82.36,110.87
3573,59.2,104.82
4363,118.57,84.14
3299,166.4,82.59
181,173.4,169.84
265,149.03,151.47
18,110.24,148.44
90,102.13,97.99
550,102.36,160.56
98,146.63,174.31
199,148.13,76.39
286,156.9,153.29
320,92.32,80.32
847,199.83,65.04
877,77.52,106.62
973,116.91,152.08
447,113.27,152.08
1024,113.88,179.95
1082,152.75,138.2
2143,107.21,148.44
1784,109.03,87.84
3128,64.6,102.79
3769,114.14,28.45
2132,116.75,51.65
2477,147.12,158.2
2009,152.58,46.6
2211,206.6,99.86
2357,92.8,62.27
4013,110.57,147.54
1939,147.12,161.25
1989,154.22,165.31
2259,132.9,72.93
2930,151.69,159.73
3138,113.11,152.62
3876,73.1,81.93
4250,146.61,193.23
3720,194.53,129.93
2689,101.94,165.31
2426,175.73,105.49
3019,136.46,147.04
3982,71.78,103.4
2229,161.33,163.79
2454,111.59,155.67
3467,188.31,85.29
3751,100.9,126.04
2945,158.28,161.25
3513,140.72,92.59
3957,108.54,170.89
2394,155.75,174.45
3014,98.9,113.03
1558,113.62,60.24
1711,93.51,169.81
1812,112.6,153.64
2367,105.49,168.36
3268,149.15,155.16
3422,106.51,160.23
4110,102.45,153.64
1257,162.94,156.52
2819,100.42,165.82
2918,110.57,158.2
3130,94.83,117.6
104,86.91,48.15
1641,129.0,75.7
1770,186.86,151.02
1908,42.31,108.9
122,105.3,164.81
378,114.63,182.57
566,129.53,59.9
645,126.31,186.63
1990,107.52,171.91
2443,145.78,88.04
2749,59.81,129.78
2780,114.18,147.46
745,108.54,156.17
853,120.21,174.45
1224,115.14,155.16
1351,172.5,126.23
1401,185.69,132.82
1599,133.92,102.88
1841,109.56,157.19
3448,109.56,156.17
3988,109.05,155.67
4506,125.32,112.96
2130,184.74,65.22
4065,201.31,110.58
3489,88.98,101.87
3900,140.81,164.9
4522,166.49,146.17
2525,125.0,183.02
3923,143.74,149.17
1965,158.85,170.93
2084,99.41,35.11
3441,153.41,155.21
2718,157.04,166.7
3770,142.57,167.45
4248,141.53,32.6
2022,82.84,55.17
2985,147.37,152.19
3765,112.31,154.61
1489,156.02,102.14
4406,170.33,175.16
1772,70.56,43.64
2199,142.53,150.98
2233,90.42,109.02
2061,124.4,82.68
2557,109.29,97.79
2977,106.87,160.05
3242,156.43,166.7
3712,129.6,133.88
3887,195.48,67.54
2270,125.0,189.67
3394,150.0,116.21
398,144.95,149.17
519,173.61,46.19
623,191.63,136.74
879,63.72,96.56
957,146.16,176.37
1008,99.12,67.95
3868,41.44,87.23
4233,60.66,140.88
389,110.5,45.21
524,213.52,109.45
1308,91.13,160.75
924,138.96,107.37
1129,184.62,142.43
1439,211.44,120.16
1500,218.69,112.3
1892,124.6,107.15
1967,144.45,63.92
1839,179.84,52.95
2581,205.37,127.16
2671,73.79,159.09
2405,103.53,146.41
3145,102.03,163.68
3914,161.37,80.41
2937,107.6,60.43
3052,106.8,169.72
4099,109.22,165.49
2182,109.82,155.82
2613,137.34,81.44
4214,184.75,144.48
1289,60.87,134.03
1552,116.08,191.48
2170,152.13,152.8
3625,77.04,116.81
4260,77.79,105.05
2074,98.95,164.88
3224,210.76,124.39
4007,70.19,50.91
4514,211.69,80.36
74,146.19,41.5
157,170.25,80.1
428,149.72,154.61
1631,119.5,74.73
1774,100.07,107.15
2194,76.58,95.98
2562,131.25,175.91
2897,84.44,102.02
552,77.93,131.12
