,index,PitchId,BatterId,PitcherId,PitcherHand,BatterSide,PitchCall,PitchType,ReleaseSpeed,PlateX,TrajectoryLocationY,PlateZ,StrikeZoneTop,StrikeZoneBottom,Balls,Strikes,VerticalBreak,InducedVerticalBreak,HorzBreak,VertApproachAngle,HorzApproachAngle,LaunchSpeed,LaunchAngle,LaunchSpinAxis,LaunchDirection,LaunchSpinRate,LandingPositionX,LandingPositionY,LandingPositionZ,barrel,Outs_Generated,PitchResult,slg,inning_outs,Inning,Inning_Top_Bottom,At_Bat_Num
47,49,50,12,1,L,R,foul_bunt,FF,93.0,7.2503571510314995,1.41666662693024,31.787498474121122,3.49000000953674,1.60099995136261,0,0,-1.62824714183807,11.525600194931027,-10.327556133270264,-5.08286046981812,0.404397398233414,24.25,68.29,167.876098632812,-63.7156677246094,1705.24816894531,-22.8111801147461,13.7350549697876,0.003316395683214,Other,0,Not In-Play,0,0,2,Top,1
48,50,51,12,1,L,R,ball,FF,92.3,2.93124371767044,1.41666662693024,45.16188240051264,3.22436928749084,1.60000002384186,0,1,-1.64067316055298,11.679226398468012,-6.567558288574224,-3.91561317443848,1.16134309768677,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
49,51,52,12,1,L,R,swinging_strike,FF,93.5,6.53204154968262,1.41666662693024,34.12987518310548,3.49000000953674,1.60099995136261,1,1,-1.55028486251831,11.983369588851923,-6.6552379131317165,-4.8327488899231,0.702728271484375,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
50,52,53,12,1,L,R,ball,KC,81.1,7.550216674804691,1.41666662693024,39.65186691284184,3.06453895568848,1.60000002384186,1,2,-4.04831171035767,-8.049432992935175,5.254010438919072,-7.20279026031494,1.73435425758362,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
51,54,55,12,1,L,R,strikeout,KC,80.2,-11.75393843650818,1.41666662693024,19.45856523513792,3.49000000953674,1.60099995136261,3,2,-4.23128890991211,-8.879527330398563,3.184201955795292,-9.10782051086426,3.3389904499054,0.0,None,,,,,,,Other,1,Out,0,1,2,Top,1
52,55,56,1,1,L,R,swinging_strike,FF,91.5,-1.3794481158256562,1.41666662693024,39.98676681518556,3.28500008583069,1.48699998855591,0,0,-1.63195312023163,12.27290868759156,-4.852557420730596,-4.64836835861206,1.48502135276794,0.0,None,,,,,,,Other,0,Not In-Play,0,1,2,Top,2
53,56,57,1,1,L,R,foul,FF,92.4,1.900793910026556,1.41666662693024,33.12531852722172,3.28500008583069,1.48699998855591,0,1,-1.68489718437195,11.055431127548221,-7.31605124473572,-5.07853174209595,1.06984972953796,85.93,36.0,226.326507568359,56.2450065612793,6256.61328125,285.954742431641,91.8073425292969,0.0308205541223288,Other,0,Not In-Play,0,1,2,Top,2
54,57,58,1,1,L,R,strikeout,KC,81.1,4.817252397537228,1.41666662693024,15.9929580688476,3.28500008583069,1.48699998855591,0,2,-3.95370984077454,-6.662005662918096,3.8660387992858922,-9.05731773376465,1.9139119386673,0.0,None,,,,,,,Other,1,Out,0,2,2,Top,2
55,58,59,2,1,L,L,ball,KC,81.4,7.228596210479736,1.41666662693024,42.90939331054692,3.27345585823059,1.36129808425903,0,0,-3.94507765769958,-6.753953218460088,4.793079257011416,-6.66938972473145,1.92853200435638,0.0,None,,,,,,,Other,0,Not In-Play,0,2,2,Top,2
56,59,60,2,1,L,L,single,KC,80.2,13.924567222595158,1.41666662693024,35.67734813690184,3.54900002479553,1.62699997425079,1,0,-4.25204467773438,-9.239729404449468,4.3905351161956805,-7.78590774536133,1.20658826828003,60.81,31.24,176.790237426758,29.4743499755859,1545.92944335938,95.6219329833984,173.702713012695,-0.01589035987854,Other,0,Hit,1,2,2,Top,2
57,60,61,3,1,L,R,called_strike,SL,88.0,11.111006498336796,1.41666662693024,29.28300476074224,3.30618262290955,1.63487231731415,0,0,-2.38171339035034,6.009535789489751,2.737622380256652,-5.98144960403442,1.66685521602631,0.0,None,,,,,,,Other,0,Not In-Play,0,2,2,Top,2
58,61,62,3,1,L,R,field_out,FF,92.6,-2.696050643920896,1.41666662693024,27.53940868377684,3.46700000762939,1.58899998664856,0,1,-1.99202263355255,7.45017886161804,-7.609566450119016,-5.69004726409912,1.53209245204926,93.08,-28.85,180.0,-41.9487571716309,4183.20166015625,-2.98840594291687,4.15554809570312,-0.0324623882770538,Other,1,Out,0,3,2,Top,2
59,62,63,13,2,R,R,foul,FF,92.9,2.833322167396548,1.41666662693024,28.52930831909184,3.46700000762939,1.58899998664856,0,0,-1.52933251857758,13.20448350906372,9.466252326965328,-5.44999551773071,-2.88788366317749,83.92,74.69,191.569122314453,53.4071960449219,6530.8896484375,110.255828857422,17.8948516845703,0.0453149564564228,Other,0,Not In-Play,0,0,2,Bottom,1
60,63,64,13,2,R,R,called_strike,CU,75.3,-3.059700965881344,1.41666662693024,31.60498809814452,3.36346840858459,1.5900000333786,0,1,-4.58426761627197,-7.134269714355467,-13.34632730484012,-8.72767639160156,-4.62395763397217,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
61,64,65,13,2,R,R,single,SL,84.9,6.83277869224548,1.41666662693024,27.17909145355224,3.46700000762939,1.58899998664856,0,2,-2.51306080818176,7.354117870330812,-4.174965262413024,-6.45226764678955,-4.66133117675781,69.6,5.36,289.834930419922,9.31376934051514,645.2333984375,13.7537899017334,67.6411666870117,-0.0034742297139018,Other,0,Hit,1,0,2,Bottom,1
62,66,67,14,2,R,R,blocked_ball,CU,76.4,18.51666927337644,1.41666662693024,2.132403731346132,3.7722589969635,1.85480117797852,0,0,-4.44732809066772,-6.813424587249756,-11.090478658676147,-11.0375652313232,-6.14661169052124,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
63,67,68,14,2,R,R,called_strike,FF,92.6,4.031438827514652,1.41666662693024,18.76406335830684,3.82757544517517,1.66434502601624,1,0,-1.75229370594025,10.50546026229858,10.452745199203488,-6.30826187133789,-2.97253060340881,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
